t,f,df
4.653549807289527962e+02,1.000376343727111816e+00,2.777370973490178585e-04
4.653754150105887675e+02,1.000356674194335938e+00,2.777304034680128098e-04
4.653958491923331167e+02,1.000533699989318848e+00,2.777374465949833393e-04
4.654162832741785678e+02,1.000132679939270020e+00,2.777245827019214630e-04
4.654367175561055774e+02,1.000164866447448730e+00,2.777248737402260303e-04
4.654571517381555168e+02,1.000324368476867676e+00,2.777289482764899731e-04
4.654775858202920062e+02,1.000012755393981934e+00,2.777058107312768698e-04
4.654980201025391580e+02,1.000050306320190430e+00,2.777108456939458847e-04
4.655184542848874116e+02,1.000269412994384766e+00,2.777039480861276388e-04
4.655388883673367673e+02,1.000132203102111816e+00,2.777473127935081720e-04
4.655593226498895092e+02,1.000590324401855469e+00,2.777542104013264179e-04
4.655797568325433531e+02,1.000285267829895020e+00,2.777134068310260773e-04
4.656001909152982989e+02,1.000287055969238281e+00,2.777529880404472351e-04
4.656206251981420792e+02,1.000495195388793945e+00,2.777483314275741577e-04
4.656410592811007518e+02,1.000399470329284668e+00,2.777157642412930727e-04
4.656614934641620493e+02,1.000485897064208984e+00,2.777177433017641306e-04
4.656819277473186958e+02,1.000175952911376953e+00,2.777254267130047083e-04
4.657023618305756827e+02,1.000435709953308105e+00,2.777583722490817308e-04
4.657227960139425704e+02,1.001003265380859375e+00,2.777164918370544910e-04
4.657432302974048071e+02,1.000234723091125488e+00,2.776453911792486906e-04
4.657636644809681457e+02,1.000497221946716309e+00,2.776563924271613359e-04
4.658045328483858611e+02,9.998604059219360352e-01,2.776474575512111187e-04
4.658249670322475140e+02,9.996455311775207520e-01,2.776110486593097448e-04
4.658658354002764099e+02,1.000457763671875000e+00,2.777367189992219210e-04
4.658862695844436530e+02,1.000392198562622070e+00,2.776998735498636961e-04
4.659067036687119980e+02,1.000321030616760254e+00,2.777113404590636492e-04
4.659271379530691775e+02,1.000267982482910156e+00,2.777255722321569920e-04
4.659475721375347348e+02,9.996723532676696777e-01,2.776792389340698719e-04
4.659680062221013941e+02,9.998930096626281738e-01,2.776976034510880709e-04
4.659884404067634023e+02,9.996505379676818848e-01,2.776354958768934011e-04
4.660088746915353113e+02,9.999597072601318359e-01,2.777132613118737936e-04
4.660293087764002848e+02,9.995465278625488281e-01,2.776544133666902781e-04
4.660497429613606073e+02,1.000213384628295898e+00,2.776372712105512619e-04
4.660701772464235546e+02,1.000222086906433105e+00,2.777244080789387226e-04
4.660906114315876039e+02,1.000452637672424316e+00,2.777027839329093695e-04
4.661110455168454791e+02,1.000609517097473145e+00,2.777027257252484560e-04
4.661314798022140167e+02,9.992364645004272461e-01,2.776028704829514027e-04
4.661519139876691042e+02,9.995990991592407227e-01,2.776227483991533518e-04
4.661723480732325697e+02,1.000399470329284668e+00,2.776842156890779734e-04
4.661927823588994215e+02,1.000121593475341797e+00,2.776980691123753786e-04
4.662132165446673753e+02,1.000915646553039551e+00,2.777659392450004816e-04
4.662336506305073272e+02,9.999861717224121094e-01,2.776949258986860514e-04
4.662540849164724932e+02,9.997655749320983887e-01,2.777006302494555712e-04
4.662745191025242093e+02,1.000369548797607422e+00,2.777154149953275919e-04
4.662949531886843033e+02,1.000549077987670898e+00,2.777097397483885288e-04
4.663153874749405077e+02,1.000692963600158691e+00,2.777006884571164846e-04
4.663358216612978140e+02,9.999584555625915527e-01,2.777128829620778561e-04
4.663562557477416703e+02,9.999184012413024902e-01,2.776438195724040270e-04
4.663766900342961890e+02,1.000381231307983398e+00,2.777384070213884115e-04
4.663971241209437721e+02,9.996214509010314941e-01,2.776523178908973932e-04
4.664175583076867042e+02,9.996672868728637695e-01,2.776919864118099213e-04
4.664379925945395371e+02,9.996464848518371582e-01,2.776876790449023247e-04
4.664584266814854345e+02,1.000138998031616211e+00,2.777217887341976166e-04
4.664788608685266809e+02,1.000014662742614746e+00,2.776788605842739344e-04
4.664992951556705520e+02,9.997792243957519531e-01,2.776905021164566278e-04
4.665197293429009733e+02,9.996775984764099121e-01,2.776719338726252317e-04
4.665401634302324965e+02,1.000089168548583984e+00,2.776918117888271809e-04
4.665605977176746819e+02,9.999741315841674805e-01,2.776795299723744392e-04
4.665810319052106934e+02,1.000724315643310547e+00,2.777031913865357637e-04
4.666014659928405308e+02,1.000448822975158691e+00,2.777141344267874956e-04
4.666423344683935284e+02,9.995889067649841309e-01,2.776622714009135962e-04
4.666627685563144041e+02,1.000153064727783203e+00,2.776605251710861921e-04
4.666832027443379047e+02,1.000390291213989258e+00,2.776839537546038628e-04
4.667036370324640302e+02,1.000399112701416016e+00,2.777333138510584831e-04
4.667240711206686683e+02,1.000107049942016602e+00,2.776899200398474932e-04
